Country Name,Distance
United Kingdom,0
Netherlands,677
EIRE,380
Germany,1033
France,1091
Australia,15206
Switzerland,1249
Spain,1664
Belgium,757
Japan,9200
Sweden,1404
Norway,900
Portugal,1812
Channel Islands,374
Finland,1819
Denmark,813
Italy,1898
Cyprus,3592
Hong Kong,9557
Singapore,10961
Austria,1515
Israel,4031
Poland,1530
Unspecified,
Greece,2604
Iceland,1363
Canada,5807
Malta,2550
United Arab Emirates,5837
USA,6830
Lebanon,3842
Lithuania,1719
European Community,
Brazil,8967
RSA,9881
Czech Republic,1413
Bahrain,5401
Saudi Arabia,5267